quarter,level_1,level_2,level_3,value
1976-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,301.4
1976-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,76.8
1976-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,75.8
1976-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,710.9
1976-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,357.9
1976-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,120.7
1976-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,76.4
1976-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,259.6
1976-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,283.1
1976-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,347.7
1976-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,877.8
1976-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,305.9
1976-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,81
1976-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,76.9
1976-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,759.2
1976-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,390.3
1976-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,127.5
1976-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,78.5
1976-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,269.3
1976-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,298.8
1976-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,358.8
1976-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,896.8
1976-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,290.3
1976-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,83.8
1976-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,77.2
1976-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,783
1976-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,404.6
1976-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,135.4
1976-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,77.2
1976-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,289.6
1976-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,297.2
1976-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,420.3
1977-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,843.4
1977-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,278.5
1977-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,78.8
1977-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,81.9
1977-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,746.6
1977-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,412.4
1977-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,136.9
1977-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,93.3
1977-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,277.1
1977-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,303
1977-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,374.6
1977-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,913.7
1977-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,293.4
1977-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,82.5
1977-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,76.4
1977-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,777.4
1977-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,409.3
1977-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,137.2
1977-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,84.3
1977-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,282.9
1977-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,302.6
1977-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,361.7
1977-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,968.1
1977-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,300.5
1977-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,83.4
1977-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,81.1
1977-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,826.5
1977-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,464.7
1977-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,144.4
1977-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,88.3
1977-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,283.2
1977-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,305.5
1977-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,372
1977-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,969.3
1977-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,290
1977-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,89.9
1977-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,86.3
1977-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,870.4
1977-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,491.6
1977-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,154.3
1977-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,98.5
1977-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,287.8
1977-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,311
1977-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,437.5
1978-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,958.4
1978-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,254.5
1978-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,93.7
1978-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,74.3
1978-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,824.3
1978-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,514.8
1978-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,160.5
1978-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,100.8
1978-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,309.9
1978-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,317.9
1978-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,399.1
1978-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1026.5
1978-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,270.9
1978-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,95.8
1978-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,73.4
1978-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,831.9
1978-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,514.6
1978-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,158.3
1978-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,113.6
1978-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,324.4
1978-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,315.1
1978-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,386.1
1978-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1112.9
1978-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,266.8
1978-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,100.6
1978-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,77.7
1978-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,917.5
1978-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,568.9
1978-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,169.6
1978-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,119.7
1978-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,341.6
1978-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,326.2
1978-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,408.4
1978-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1180.2
1978-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,291.9
1978-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,106.1
1978-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,80
1978-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,946.1
1978-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,589.4
1978-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,179.7
1978-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,128.9
1978-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,377.3
1978-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,326.1
1978-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,488.7
1979-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1103.2
1979-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,267.5
1979-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,116.3
1979-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,72.4
1979-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,883.3
1979-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,575.7
1979-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,183.8
1979-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,119.1
1979-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,362.1
1979-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,346
1979-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,431.8
1979-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1297
1979-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,294.7
1979-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,109.1
1979-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,77.6
1979-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,918.9
1979-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,582.6
1979-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,187.7
1979-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,128.5
1979-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,385.5
1979-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,357
1979-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,420.8
1979-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1419
1979-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,295.2
1979-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,120.6
1979-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,84.7
1979-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1020.4
1979-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,618.1
1979-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,198.2
1979-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,133.7
1979-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,411.6
1979-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,368
1979-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,463.9
1979-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1517.8
1979-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,329.9
1979-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,123.4
1979-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,92.8
1979-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1058.6
1979-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,643.5
1979-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,220.5
1979-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,140.7
1979-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,451.5
1979-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,380.5
1979-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,547.4
1980-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1589.3
1980-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,344.9
1980-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,125.9
1980-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,87.9
1980-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,985
1980-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,714.4
1980-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,232.6
1980-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,150.1
1980-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,518.3
1980-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,418.6
1980-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,488.7
1980-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1706.7
1980-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,379
1980-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,161.6
1980-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,96.8
1980-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1015.4
1980-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,695.2
1980-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,237.7
1980-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,157
1980-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,548
1980-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,436.1
1980-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,470.7
1980-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1757.7
1980-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,392.3
1980-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,162.5
1980-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,98.9
1980-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1088
1980-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,770.6
1980-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,254.8
1980-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,154.9
1980-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,593
1980-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,463.5
1980-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,512.7
1980-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1806.9
1980-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,439.1
1980-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,155.9
1980-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,106.9
1980-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1144.7
1980-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,777.9
1980-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,273.8
1980-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,168.9
1980-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,633
1980-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,481.8
1980-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,624.7
1981-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1757.5
1981-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,441.2
1981-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,123.2
1981-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,100.9
1981-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1042.7
1981-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,784.1
1981-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,277.8
1981-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,173.6
1981-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,709.5
1981-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,570.9
1981-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,559.5
1981-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,1934.7
1981-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,480.6
1981-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,128.4
1981-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,105.3
1981-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1046.7
1981-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,824.3
1981-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,282.5
1981-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,184.9
1981-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,764.6
1981-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,593.5
1981-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,544.9
1981-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2065.3
1981-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,528.5
1981-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,136.6
1981-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,111.7
1981-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1095.9
1981-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,875.1
1981-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,302.9
1981-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,200.4
1981-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,820.6
1981-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,664.2
1981-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,603.2
1981-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,2058.6
1981-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,647.4
1981-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,146.2
1981-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,126.2
1981-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,1157.5
